"Survey Begin Date","Species","Survey Year","Len","Weight Pounds"
"LAKE STURGEON",2010,2010-05-04,58,43.9
"LAKE STURGEON",2010,2010-05-04,61.5,70.5
"LAKE STURGEON",2010,2010-05-04,59.7,55.6
"LAKE STURGEON",2010,2010-05-04,62.5,66.5
"LAKE STURGEON",2010,2010-05-04,55.7,38.8
"LAKE STURGEON",2010,2010-05-04,56.4,45.7
"LAKE STURGEON",2010,2010-05-04,55.6,44.6
"LAKE STURGEON",2010,2010-05-04,55,41.9
"LAKE STURGEON",2010,2010-05-04,60.9,60
"LAKE STURGEON",2012,2012-08-02,59.6,48
"LAKE STURGEON",2013,2013-08-06,58.4,48.7
"LAKE STURGEON",2013,2013-08-06,46.8,24.25
"LAKE STURGEON",2013,2013-08-06,66.3,67.24
"LAKE STURGEON",2013,2013-08-06,66.3,62.83
"LAKE STURGEON",2013,2013-08-06,55.7,44.31
"LAKE STURGEON",2013,2013-08-06,55.1,38.47
"LAKE STURGEON",2013,2013-08-06,62.2,56.88
"LAKE STURGEON",2013,2013-08-06,54.1,41.01
"LAKE STURGEON",2013,2013-08-06,60.5,51.59
"LAKE STURGEON",2013,2013-08-06,60.1,53.79
"LAKE STURGEON",2014,2014-09-08,61.5,50.7
"LAKE STURGEON",2012,2012-08-02,60.9,50.6
"LAKE STURGEON",2012,2012-08-02,60.9,50.6
"LAKE STURGEON",2012,2012-08-02,58.3,34.2
"LAKE STURGEON",2012,2012-08-02,58.3,34.2
