"Waterbody.Name","Species","n","valid_n","meanLen","sdLen"
"BLACK DAN LAKE","BLACK BULLHEAD",2,0,NA,NA
"BLACK DAN LAKE","BLACK CRAPPIE",402,402,6.89,1.42
"BLACK DAN LAKE","BLUEGILL",599,241,4.35,0.92
"BLACK DAN LAKE","LARGEMOUTH BASS",76,76,11.01,3.15
"BLACK DAN LAKE","MUSKELLUNGE",38,15,34.88,7.35
"BLACK DAN LAKE","NORTHERN PIKE",8,8,22.91,5.82
"BLACK DAN LAKE","PUMPKINSEED",43,31,4.61,1.12
"BLACK DAN LAKE","PUMPKINSEED X BLUEGILL",13,9,5.36,1.01
"BLACK DAN LAKE","ROCK BASS",4,4,4.4,2.23
"BLACK DAN LAKE","WALLEYE",180,180,10.74,5.02
"BLACK DAN LAKE","WARMOUTH",5,2,5,0.71
"BLACK DAN LAKE","WHITE CRAPPIE",14,14,8.07,1.93
"BLACK DAN LAKE","WHITE SUCKER",1,0,NA,NA
"BLACK DAN LAKE","YELLOW PERCH",122,122,5.86,1.05
"BLUEBERRY LAKE","LARGEMOUTH BASS",61,61,11.43,2.01
"CONNORS LAKE","BLUEGILL",198,108,5.16,1.1
"CONNORS LAKE","COMMON SHINER",4,0,NA,NA
"CONNORS LAKE","GOLDEN SHINER",4,0,NA,NA
"CONNORS LAKE","LARGEMOUTH BASS",3,2,15.25,0.07
"CONNORS LAKE","MUSKELLUNGE",41,41,26.97,9.31
"CONNORS LAKE","NORTHERN PIKE",8,8,22,3.5
"CONNORS LAKE","PUMPKINSEED",13,9,5.24,1.07
"CONNORS LAKE","ROCK BASS",24,10,5.86,0.78
"CONNORS LAKE","SMALLMOUTH BASS",32,32,12.68,3.16
"CONNORS LAKE","WALLEYE",501,501,12.83,4.67
"CONNORS LAKE","WHITE SUCKER",27,9,10.78,2.08
"CONNORS LAKE","YELLOW PERCH",1811,82,5.58,1.49
"DURPHEE LAKE","BLACK CRAPPIE",100,100,7.46,0.74
"DURPHEE LAKE","BLUEGILL",603,574,6.6,0.51
